id,firmano,bolumid,frmid,kont,konttr,konten,yetkialan,sfirmano,havuz,deguser,degtarsaat,olususer,olustarsaat,anafrmid,fat_fis_kont_id,Modul,kont_menu,Rap_id
233,,2,9,butyeni,Yeni Kart,,True,,,,,,,,,,YaniTank1,
234,,2,9,cxButton15,Tahsilat-Ödeme,,True,,,,,,,,,,,
235,,2,9,butcik,Çıkış - ESC,,,,,,,,,,,,,
236,,2,9,butbildeg,Bilgi Değiştir,,True,,,,,,,,,,BilgiDeitir1,
237,,2,9,buthrk,Hareket Dökümü,,True,,,,,,,,,,,
238,,2,9,cxButton5,Vade Farkı,,True,,,,,,,,,,,
239,,2,9,YaniTank1,Yeni Kart,,False,,,,,,,,,,,
240,,2,9,Bilgincele1,Bilgi İncele,,,,,,,,,,,,,
241,,2,9,BilgiDeitir1,Bilgi Değiştir,,False,,,,,,,,,,,
242,,2,9,HareketDkm1,Hareket Dökümü,,True,,,,,,,,,,,
243,,2,9,CariHareketFiDkm1,Cari Hareket - Fiş Dökümü,,True,,,,,,,,,,,
244,,2,9,VeresiyeFilemleri1,Veresiye Fiş İşlemleri,,True,,,,,,,,,,,
245,,2,9,FAtura1,Fatura,,True,,,,,,,,,,,
246,,2,9,LitreTakibi1,Litre Takibi,,True,,,,,,,,,,,
247,,2,9,VadeFark1,Vade Farkı,,True,,,,,,,,,,,
248,,2,9,ahsilat1,Tahsilat,,True,,,,,,,,,,,
1429,,2,84,BilgiDeitir1,Bilgi Değiştir,,True,,,,,,,,,,,
250,,2,9,N1,-,,,,,,,,,,,,,
251,,2,9,ankSil1,Kart Sil,,True,,,,,,,,,,,
252,,2,9,SilinmiKArtGeriAl1,Silinmiş Kartı Geri Al,,True,,,,,,,,,,,
253,,2,9,N2,-,,,,,,,,,,,,,
254,,2,9,Silinmi1,Silinmiş Kayıtları Göster,,True,,,,,,,,,,,
255,,2,10,tbtnPageSetup,Sayfa Ayarı,,,,,,,,,,,,,
256,,2,10,tbtnPreview,Ön İzleme,,,,,,,,,,,,,
257,,2,10,tbtnPrint,Print,,,,,,,,,,,,,
258,,2,10,tbtnDesigner,Dizayn,,,,,,,,,,,,,
259,,2,10,ToolButton6,Excel,,,,,,,,,,,,,
260,,2,10,ToolButton7,Grup Kapa,,,,,,,,,,,,,
261,,2,10,ToolButton14,Başlangıç Ayarı,,,,,,,,,,,,,
262,,2,10,ToolButton15,Genişlik Ayarı,,,,,,,,,,,,,
263,,2,10,ToolButton16,ToolButton16,,,,,,,,,,,,,
