id,firmano,yetkiid,bolumid,frmid,kontid,havuz,deguser,degtarsaat,olususer,olustarsaat,Modul,Rap_id
258,,2,2,87,1452,,,,,,,0
259,,2,2,87,1453,,,,,,,0
260,,2,2,87,1454,,,,,,,0
261,,2,2,87,1457,,,,,,,0
262,,2,2,87,1458,,,,,,,0
263,,2,2,87,1459,,,,,,,0
264,,2,2,87,1460,,,,,,,0
265,,2,2,87,1461,,,,,,,0
266,,2,2,87,1462,,,,,,,0
267,,2,3,24,769,,,,,,,0
268,,2,3,24,796,,,,,,,0
269,,2,3,24,801,,,,,,,0
270,,2,3,25,820,,,,,,,0
271,,2,3,25,825,,,,,,,0
272,,2,3,25,826,,,,,,,0
273,,2,3,25,828,,,,,,,0
274,,2,3,25,830,,,,,,,0
275,,2,3,25,832,,,,,,,0
276,,2,3,25,833,,,,,,,0
277,,2,3,26,834,,,,,,,0
278,,2,3,26,836,,,,,,,0
279,,2,3,26,854,,,,,,,0
280,,2,3,26,859,,,,,,,0
281,,2,3,26,860,,,,,,,0
282,,2,3,26,863,,,,,,,0
283,,2,3,26,865,,,,,,,0
284,,2,3,26,866,,,,,,,0
285,,2,3,27,880,,,,,,,0
286,,2,3,27,882,,,,,,,0
287,,2,3,27,883,,,,,,,0
288,,2,3,27,884,,,,,,,0
289,,2,3,27,885,,,,,,,0
290,,2,3,27,886,,,,,,,0
291,,2,3,27,887,,,,,,,0
292,,2,3,27,888,,,,,,,0
293,,2,3,27,889,,,,,,,0
294,,2,3,27,890,,,,,,,0
295,,2,3,27,891,,,,,,,0
296,,2,3,27,892,,,,,,,0
297,,2,3,27,893,,,,,,,0
298,,2,3,27,894,,,,,,,0
299,,2,3,27,897,,,,,,,0
300,,2,3,27,901,,,,,,,0
301,,2,3,27,902,,,,,,,0
302,,2,3,28,920,,,,,,,0
303,,2,3,28,921,,,,,,,0
304,,2,3,28,922,,,,,,,0
305,,2,3,28,923,,,,,,,0
306,,2,3,83,1411,,,,,,,1
307,,2,3,83,1412,,,,,,,2
308,,2,3,83,1413,,,,,,,3
309,,2,3,83,1414,,,,,,,4
310,,2,3,83,1415,,,,,,,5
311,,2,3,83,1416,,,,,,,6
312,,2,3,83,1417,,,,,,,7
313,,2,3,83,1418,,,,,,,8
314,,2,3,83,1419,,,,,,,9
315,,2,3,83,1420,,,,,,,10
316,,2,3,83,1490,,,,,,,38
317,,2,3,83,1567,,,,,,,40
318,,2,3,83,1568,,,,,,,41
319,,2,4,4,128,,,,,,,0
320,,2,4,4,129,,,,,,,0
321,,2,4,4,133,,,,,,,0
322,,2,4,4,134,,,,,,,0
323,,2,4,4,135,,,,,,,0
324,,2,4,4,136,,,,,,,0
325,,2,4,4,137,,,,,,,0
326,,2,4,4,138,,,,,,,0
327,,2,4,4,139,,,,,,,0
328,,2,4,4,141,,,,,,,0
329,,2,4,4,142,,,,,,,0
330,,2,4,4,143,,,,,,,0
331,,2,4,4,144,,,,,,,0
332,,2,4,4,146,,,,,,,0
333,,2,4,4,147,,,,,,,0
334,,2,4,4,148,,,,,,,0
335,,2,4,4,149,,,,,,,0
336,,2,4,4,150,,,,,,,0
337,,2,4,4,151,,,,,,,0
338,,2,4,4,152,,,,,,,0
339,,2,4,4,154,,,,,,,0
